run_id,run_label,order_num,conveyor,replication
12,run_12_algorithm2_tote_overlap_smart_active_need_weighted_critical_first,8,3,1
12,run_12_algorithm2_tote_overlap_smart_active_need_weighted_critical_first,4,3,1
12,run_12_algorithm2_tote_overlap_smart_active_need_weighted_critical_first,9,3,1
12,run_12_algorithm2_tote_overlap_smart_active_need_weighted_critical_first,11,4,1
12,run_12_algorithm2_tote_overlap_smart_active_need_weighted_critical_first,6,4,1
13,run_13_algorithm3_itemtype_overlap_smart_active_need_fixed,1,1,1
13,run_13_algorithm3_itemtype_overlap_smart_active_need_fixed,6,1,1
13,run_13_algorithm3_itemtype_overlap_smart_active_need_fixed,10,1,1
13,run_13_algorithm3_itemtype_overlap_smart_active_need_fixed,2,2,1
13,run_13_algorithm3_itemtype_overlap_smart_active_need_fixed,9,2,1
13,run_13_algorithm3_itemtype_overlap_smart_active_need_fixed,11,2,1
13,run_13_algorithm3_itemtype_overlap_smart_active_need_fixed,3,3,1
13,run_13_algorithm3_itemtype_overlap_smart_active_need_fixed,7,3,1
13,run_13_algorithm3_itemtype_overlap_smart_active_need_fixed,8,4,1
13,run_13_algorithm3_itemtype_overlap_smart_active_need_fixed,5,4,1
13,run_13_algorithm3_itemtype_overlap_smart_active_need_fixed,4,4,1
14,run_14_algorithm3_itemtype_overlap_smart_active_need_critical_first,1,1,1
14,run_14_algorithm3_itemtype_overlap_smart_active_need_critical_first,6,1,1
14,run_14_algorithm3_itemtype_overlap_smart_active_need_critical_first,10,1,1
14,run_14_algorithm3_itemtype_overlap_smart_active_need_critical_first,2,2,1
14,run_14_algorithm3_itemtype_overlap_smart_active_need_critical_first,9,2,1
14,run_14_algorithm3_itemtype_overlap_smart_active_need_critical_first,11,2,1
14,run_14_algorithm3_itemtype_overlap_smart_active_need_critical_first,3,3,1
14,run_14_algorithm3_itemtype_overlap_smart_active_need_critical_first,7,3,1
14,run_14_algorithm3_itemtype_overlap_smart_active_need_critical_first,8,4,1
14,run_14_algorithm3_itemtype_overlap_smart_active_need_critical_first,5,4,1
14,run_14_algorithm3_itemtype_overlap_smart_active_need_critical_first,4,4,1
